Salário,Idade,Formação,Sexo,Raça
2965.86,45,Ensino Médio,Feminino,Branco
9503.2,38,Graduação,Masculino,Branco
4803.24,47,Ensino Médio,Masculino,Branco
11602.3,58,Pós-Graduação,Feminino,Branco
2776.11,37,Ensino Médio,Masculino,Pardo
11435.21,37,Pós-Graduação,Masculino,Branco
5976.88,58,Graduação,Masculino,Negro
3007.1,49,Ensino Fundamental,Masculino,Indígena
4299.48,34,Ensino Médio,Feminino,Branco
6832.99,46,Graduação,Masculino,Pardo
4615.79,34,Graduação,Masculino,Branco
5783.25,34,Graduação,Masculino,Branco
13829.53,42,Mestrado,Masculino,Branco
7590.86,18,Graduação,Masculino,Negro
1200.0,19,Ensino Fundamental,Feminino,Branco
2934.51,33,Ensino Médio,Masculino,Branco
3526.14,27,Ensino Médio,Masculino,Branco
8549.6,43,Pós-Graduação,Feminino,Pardo
3053.62,29,Ensino Médio,Masculino,Pardo
6611.63,23,Graduação,Masculino,Branco
3106.48,57,Ensino Médio,Masculino,Negro
5712.22,37,Graduação,Feminino,Branco
2719.47,40,Ensino Médio,Feminino,Negro
8624.52,22,Pós-Graduação,Feminino,Branco
4236.7,33,Graduação,Masculino,Branco
5826.64,41,Graduação,Masculino,Pardo
16098.09,26,Doutorado,Masculino,Branco
6972.77,44,Graduação,Masculino,Pardo
5788.18,32,Graduação,Masculino,Branco
6857.83,36,Graduação,Feminino,Pardo
6045.71,32,Graduação,Masculino,Branco
11302.86,62,Pós-Graduação,Masculino,Branco
6800.3,39,Graduação,Masculino,Asiático
1317.6,27,Ensino Fundamental,Feminino,Branco
3994.06,49,Graduação,Masculino,Branco
5373.0,25,Graduação,Feminino,Branco
11691.97,42,Pós-Graduação,Masculino,Pardo
9038.66,18,Pós-Graduação,Masculino,Branco
6357.83,24,Graduação,Feminino,Branco
8974.8,42,Pós-Graduação,Feminino,Branco
3611.54,48,Ensino Médio,Feminino,Branco
8213.54,42,Graduação,Feminino,Branco
5846.38,38,Graduação,Masculino,Pardo
14900.6,36,Doutorado,Masculino,Branco
10237.66,22,Doutorado,Masculino,Branco
7592.51,31,Graduação,Masculino,Pardo
3271.46,34,Ensino Médio,Feminino,Branco
14740.12,52,Mestrado,Feminino,Pardo
2779.46,44,Ensino Fundamental,Feminino,Negro
4860.74,18,Graduação,Feminino,Branco
7332.37,43,Graduação,Feminino,Branco
2410.37,35,Ensino Médio,Feminino,Negro
2957.71,31,Graduação,Feminino,Negro
7879.67,47,Graduação,Masculino,Branco
7305.86,52,Graduação,Masculino,Branco
12146.55,51,Pós-Graduação,Feminino,Asiático
5330.26,29,Graduação,Feminino,Pardo
3266.79,36,Ensino Médio,Masculino,Negro
2941.96,43,Ensino Fundamental,Masculino,Branco
6851.48,51,Graduação,Feminino,Negro
6513.59,34,Graduação,Masculino,Branco
5083.91,37,Graduação,Feminino,Pardo
9206.59,26,Mestrado,Feminino,Branco
3053.78,25,Ensino Médio,Feminino,Branco
13324.52,49,Pós-Graduação,Masculino,Branco
4202.36,56,Ensino Médio,Feminino,Pardo
10930.37,39,Pós-Graduação,Feminino,Branco
3159.76,52,Ensino Fundamental,Feminino,Branco
4624.03,44,Ensino Médio,Masculino,Branco
3076.9,32,Ensino Médio,Masculino,Branco
12129.23,44,Pós-Graduação,Masculino,Negro
4414.87,58,Graduação,Feminino,Pardo
5357.01,39,Graduação,Feminino,Branco
3530.53,58,Ensino Médio,Feminino,Branco
2101.18,18,Graduação,Masculino,Negro
10000.03,49,Pós-Graduação,Masculino,Branco
13366.04,41,Mestrado,Masculino,Negro
3290.05,36,Ensino Médio,Feminino,Pardo
2748.54,41,Ensino Fundamental,Masculino,Branco
4852.27,18,Graduação,Masculino,Pardo
8226.73,37,Pós-Graduação,Masculino,Negro
2672.01,44,Ensino Fundamental,Masculino,Negro
9016.15,57,Graduação,Feminino,Branco
8688.35,33,Pós-Graduação,Feminino,Branco
2757.92,30,Ensino Médio,Feminino,Branco
4355.47,33,Graduação,Feminino,Branco
4093.32,50,Ensino Médio,Feminino,Pardo
2386.3,43,Ensino Fundamental,Feminino,Negro
4237.55,33,Graduação,Feminino,Branco
8580.38,46,Graduação,Masculino,Pardo
7374.54,41,Mestrado,Masculino,Pardo
10923.27,51,Graduação,Masculino,Branco
4272.41,31,Ensino Médio,Masculino,Negro
8133.4,36,Graduação,Masculino,Branco
7083.34,35,Mestrado,Feminino,Branco
2342.77,22,Ensino Médio,Masculino,Branco
3671.99,43,Ensino Médio,Masculino,Indígena
7414.74,43,Pós-Graduação,Feminino,Branco
3313.71,40,Ensino Médio,Feminino,Pardo
4546.12,37,Graduação,Feminino,Negro
8271.9,23,Pós-Graduação,Feminino,Branco
4628.29,34,Graduação,Feminino,Negro
6277.64,35,Graduação,Masculino,Asiático
7413.96,30,Pós-Graduação,Feminino,Asiático
5480.1,38,Graduação,Feminino,Pardo
4342.48,44,Ensino Médio,Masculino,Branco
5244.8,62,Ensino Médio,Masculino,Pardo
15388.74,42,Doutorado,Masculino,Branco
10375.39,43,Pós-Graduação,Masculino,Indígena
8382.5,39,Graduação,Masculino,Branco
1935.46,18,Ensino Médio,Feminino,Branco
3209.03,39,Ensino Médio,Feminino,Branco
5565.26,40,Pós-Graduação,Feminino,Negro
8126.88,69,Graduação,Masculino,Negro
6639.19,37,Graduação,Feminino,Branco
6336.79,43,Graduação,Feminino,Branco
11913.97,39,Mestrado,Masculino,Pardo
14428.11,25,Doutorado,Feminino,Branco
7190.06,53,Graduação,Masculino,Branco
6820.47,49,Graduação,Masculino,Pardo
3628.54,49,Ensino Médio,Masculino,Pardo
11421.06,29,Mestrado,Masculino,Negro
3421.36,56,Ensino Médio,Feminino,Indígena
3803.49,23,Graduação,Feminino,Negro
9254.38,47,Pós-Graduação,Feminino,Branco
8165.09,66,Graduação,Masculino,Negro
1971.0,28,Ensino Médio,Feminino,Pardo
3392.85,33,Graduação,Feminino,Negro
3764.15,41,Ensino Médio,Masculino,Indígena
4399.57,33,Graduação,Feminino,Negro
1664.51,21,Ensino Fundamental,Masculino,Indígena
2666.93,40,Ensino Fundamental,Feminino,Branco
6070.91,27,Graduação,Masculino,Negro
3079.08,45,Ensino Médio,Feminino,Branco
4048.65,28,Graduação,Feminino,Branco
10135.34,58,Mestrado,Feminino,Branco
1665.63,30,Ensino Fundamental,Feminino,Negro
3814.73,36,Ensino Médio,Masculino,Branco
12594.63,49,Mestrado,Masculino,Branco
6130.33,25,Graduação,Masculino,Branco
4212.58,42,Graduação,Feminino,Pardo
6319.87,55,Graduação,Masculino,Branco
3906.26,20,Graduação,Masculino,Branco
9315.37,42,Pós-Graduação,Masculino,Branco
3383.3,43,Ensino Médio,Masculino,Branco
2943.93,49,Ensino Médio,Masculino,Branco
5499.71,25,Graduação,Masculino,Indígena
3733.51,24,Graduação,Masculino,Branco
6795.86,46,Graduação,Masculino,Branco
7097.19,43,Graduação,Feminino,Branco
10999.25,43,Mestrado,Feminino,Branco
6743.59,44,Pós-Graduação,Feminino,Negro
1704.2,31,Ensino Médio,Feminino,Indígena
6455.86,42,Graduação,Masculino,Branco
5226.33,43,Pós-Graduação,Feminino,Negro
3289.5,31,Graduação,Feminino,Pardo
14446.91,62,Mestrado,Feminino,Branco
8573.83,45,Pós-Graduação,Masculino,Indígena
2587.05,25,Ensino Médio,Feminino,Branco
5689.91,47,Graduação,Masculino,Negro
6899.3,28,Mestrado,Feminino,Indígena
4718.05,49,Graduação,Feminino,Pardo
6024.86,53,Graduação,Feminino,Negro
7928.78,30,Pós-Graduação,Masculino,Branco
2498.04,51,Ensino Fundamental,Feminino,Pardo
3835.22,44,Ensino Médio,Masculino,Branco
3993.99,49,Ensino Médio,Masculino,Branco
13864.58,62,Pós-Graduação,Masculino,Pardo
2401.06,37,Ensino Médio,Masculino,Negro
6639.59,30,Graduação,Feminino,Branco
3601.72,29,Graduação,Masculino,Pardo
8315.75,30,Pós-Graduação,Masculino,Negro
5090.59,39,Graduação,Feminino,Pardo
3805.34,44,Ensino Médio,Masculino,Negro
11886.2,43,Mestrado,Masculino,Pardo
2219.11,49,Ensino Fundamental,Feminino,Pardo
4796.37,40,Graduação,Masculino,Pardo
11476.2,57,Pós-Graduação,Masculino,Pardo
7294.51,36,Graduação,Masculino,Pardo
3279.17,70,Ensino Médio,Feminino,Branco
9325.51,47,Mestrado,Feminino,Pardo
7754.25,29,Graduação,Masculino,Branco
4633.75,27,Graduação,Feminino,Asiático
9585.14,45,Mestrado,Feminino,Pardo
10594.76,37,Mestrado,Feminino,Branco
4766.57,48,Graduação,Feminino,Branco
3505.72,45,Graduação,Feminino,Branco
2054.21,39,Ensino Médio,Feminino,Pardo
3451.07,29,Ensino Médio,Masculino,Branco
2802.52,21,Ensino Médio,Feminino,Asiático
8005.37,34,Graduação,Feminino,Branco
2928.06,50,Ensino Médio,Feminino,Negro
6973.92,42,Graduação,Feminino,Branco
3064.61,25,Graduação,Masculino,Branco
8684.74,42,Graduação,Masculino,Branco
11091.23,44,Pós-Graduação,Masculino,Branco
11529.48,29,Doutorado,Feminino,Branco
6501.93,41,Graduação,Feminino,Pardo
10437.52,40,Mestrado,Feminino,Branco
6847.09,26,Graduação,Masculino,Branco
12501.57,44,Mestrado,Masculino,Branco
9238.98,46,Pós-Graduação,Feminino,Negro
